IP Address,Reputation,Latitude,Longitude
182.235.208.124,Malicious Host TW,23.5,121.0
58.99.99.34,Malicious Host TW,23.5,121.0
101.181.0.198,Malicious Host AU,,
58.248.193.3,Malicious Host CN,,
112.94.98.71,Malicious Host CN,,
180.176.99.48,Malicious Host TW,,
101.22.144.130,Malicious Host CN,34.7724990845,113.726600647
59.127.209.88,Malicious Host TW,,
14.34.157.101,Malicious Host KR,37.5111999512,126.974098206
112.31.87.98,Malicious Host CN,34.7724990845,113.726600647
210.108.70.119,Malicious Host KR,37.5111999512,126.974098206
49.89.95.159,Malicious Host CN,32.0616989136,118.777801514
104.131.82.45,Malicious Host US,,
111.185.228.37,Malicious Host TW,23.5,121.0
157.61.212.88,Malicious Host CN,,
45.229.54.212,Malicious Host BR,,
112.94.101.235,Malicious Host CN,,
101.181.34.69,Malicious Host AU,-33.4939994812,143.210403442
218.31.123.90,Malicious Host CN,43.8009986877,87.6005020142
157.61.212.41,Malicious Host CN,,
157.61.212.64,Malicious Host CN,,
120.86.236.214,Malicious Host CN,,
157.61.212.47,Malicious Host CN,,
27.47.116.249,Malicious Host CN,23.1166992188,113.25
157.61.213.140,Malicious Host CN,,
62.171.159.207,Malicious Host GB,51.4963989258,-0.122400000691
58.249.110.198,Malicious Host CN,,
61.242.54.249,Malicious Host CN,,
110.25.95.241,Malicious Host TW,23.5,121.0
112.94.97.166,Malicious Host CN,,
120.85.148.26,Malicious Host CN,,
120.85.118.78,Malicious Host CN,,
120.85.118.238,Malicious Host CN,,
120.85.113.120,Malicious Host CN,,
61.242.58.178,Malicious Host CN,,
219.157.139.165,Malicious Host CN,,
120.85.115.225,Malicious Host CN,,
103.170.92.10,Malicious Host ,23.1166992188,113.25
157.61.212.44,Malicious Host CN,,
170.247.76.178,Malicious Host AR,,
120.85.149.112,Malicious Host CN,,
120.85.94.182,Malicious Host CN,,
45.229.55.69,Malicious Host BR,,
104.131.14.192,Malicious Host US,,
101.181.102.108,Malicious Host AU,-33.4939994812,143.210403442
121.206.154.132,Malicious Host CN,,
182.166.180.194,Malicious Host JP,,
222.247.5.78,Malicious Host CN,,
175.9.135.33,Malicious Host CN,,
114.35.175.239,Malicious Host TW,,
68.183.107.64,Malicious Host US,,
111.92.75.217,Malicious Host IN,,
180.188.237.170,Malicious Host IN,,
27.43.119.144,Malicious Host CN,23.1166992188,113.25
61.242.54.203,Malicious Host CN,,
137.184.62.180,Malicious Host US,37.7509994507,-97.8219985962
201.184.89.98,Malicious Host CO,,
118.250.154.242,Malicious Host CN,,
61.242.40.17,Malicious Host CN,,
112.94.98.6,Malicious Host CN,,
112.94.98.151,Malicious Host CN,,
94.156.58.17,Malicious Host BG,,
219.138.140.114,Malicious Host CN,,
27.158.79.129,Malicious Host CN,,
101.181.98.158,Malicious Host AU,-33.4939994812,143.210403442
111.92.75.188,Malicious Host IN,,
157.61.212.104,Malicious Host CN,,
120.86.239.97,Malicious Host CN,,
51.158.102.132,Malicious Host FR,,
120.85.116.230,Malicious Host CN,,
27.41.36.239,Malicious Host CN,23.1166992188,113.25
120.85.93.174,Malicious Host CN,,
61.242.54.60,Malicious Host CN,,
111.202.167.22,Malicious Host CN,,
122.173.23.55,Malicious Host IN,,
103.206.21.107,Malicious Host HK,22.25,114.166702271
180.188.232.137,Malicious Host IN,,
42.228.193.67,Malicious Host CN,34.6836013794,113.532501221
117.87.18.27,Malicious Host CN,,
157.61.212.55,Malicious Host CN,,
202.164.138.157,Malicious Host IN,,
58.248.147.64,Malicious Host CN,,
120.85.115.75,Malicious Host CN,,
112.94.99.84,Malicious Host CN,,
45.229.54.83,Malicious Host BR,,
39.81.71.78,Malicious Host CN,36.0985984802,120.371902466
101.181.27.80,Malicious Host AU,,
165.227.74.61,Malicious Host US,,
112.251.18.12,Malicious Host CN,36.0985984802,120.371902466
59.63.204.245,Malicious Host CN,,
120.86.255.247,Malicious Host CN,,
45.229.54.143,Malicious Host BR,,
69.55.55.230,Malicious Host US,,
14.42.145.172,Malicious Host KR,,
157.61.212.59,Malicious Host CN,,
157.61.213.165,Malicious Host CN,,
157.61.213.240,Malicious Host CN,,
91.104.31.56,Malicious Host HU,,
37.0.10.31,Malicious Host NL,52.3824005127,4.89949989319
213.5.47.43,Malicious Host PL,,
58.248.193.246,Malicious Host CN,,
112.237.2.80,Malicious Host CN,,
111.165.36.134,Malicious Host CN,,
18.188.148.80,Malicious Host US,,
101.181.82.102,Malicious Host AU,-33.4939994812,143.210403442
58.58.41.106,Malicious Host CN,36.0985984802,120.371902466
223.149.1.211,Malicious Host CN,,
113.251.235.19,Malicious Host CN,,
116.68.99.71,Malicious Host IN,,
112.94.99.86,Malicious Host CN,,
210.89.63.245,Malicious Host IN,,
84.53.229.12,Malicious Host RU,,
120.85.118.195,Malicious Host CN,,
61.242.54.239,Malicious Host CN,,
201.71.186.178,Malicious Host BR,,
41.86.18.34,Malicious Host LR,6.5,-9.5
112.250.243.72,Malicious Host CN,36.0985984802,120.371902466
58.253.12.9,Malicious Host CN,23.1166992188,113.25
157.61.213.238,Malicious Host CN,,
120.226.28.56,Malicious Host CN,34.7724990845,113.726600647
112.235.46.128,Malicious Host CN,,
101.181.17.137,Malicious Host AU,,
61.242.40.245,Malicious Host CN,,
120.85.113.55,Malicious Host CN,,
85.71.26.28,Malicious Host CZ,,
61.242.58.67,Malicious Host CN,,
112.94.101.190,Malicious Host CN,,
101.0.32.22,Malicious Host IN,,
120.85.115.104,Malicious Host CN,,
122.117.212.66,Malicious Host TW,,
112.27.124.130,Malicious Host CN,34.7724990845,113.726600647
178.141.14.216,Malicious Host RU,,
120.86.255.109,Malicious Host CN,,
221.1.225.191,Malicious Host CN,36.0985984802,120.371902466
115.51.122.143,Malicious Host CN,,
61.242.54.126,Malicious Host CN,,
120.86.254.188,Malicious Host CN,,
101.181.132.37,Malicious Host AU,-33.4939994812,143.210403442
221.1.226.15,Malicious Host CN,36.0985984802,120.371902466
112.94.99.93,Malicious Host CN,,
120.86.239.154,Malicious Host CN,,
51.211.112.79,Malicious Host SA,25.0,45.0
58.248.193.88,Malicious Host CN,,
58.248.193.97,Malicious Host CN,,
61.242.58.66,Malicious Host CN,,
120.85.92.40,Malicious Host CN,,
111.202.190.6,Malicious Host CN,,
182.115.173.95,Malicious Host CN,36.0985984802,120.371902466
157.61.213.149,Malicious Host CN,,
103.40.197.175,Malicious Host IN,,
178.72.70.112,Malicious Host RU,,
112.255.126.89,Malicious Host CN,,
112.239.103.43,Malicious Host CN,36.0985984802,120.371902466
201.184.49.234,Malicious Host CO,4.59810018539,-74.0757980347
103.91.19.231,Malicious Host IN,20.0,77.0
61.242.54.48,Malicious Host CN,,
122.254.29.23,Malicious Host TW,,
61.242.40.14,Malicious Host CN,,
221.160.177.119,Malicious Host KR,,
146.70.34.2,Malicious Host GB,51.4963989258,-0.122400000691
109.123.118.38,Malicious Host GB,,
112.94.97.85,Malicious Host CN,,
58.248.193.232,Malicious Host CN,,
190.180.154.227,Malicious Host AR,,
170.247.76.179,Malicious Host AR,,
178.72.70.124,Malicious Host RU,,
60.212.108.240,Malicious Host CN,,
86.181.4.169,Malicious Host GB,,
45.229.54.193,Malicious Host BR,,
91.188.215.198,Malicious Host RU,,
176.103.88.57,Malicious Host RU,,
39.66.73.50,Malicious Host CN,,
120.85.116.70,Malicious Host CN,,
49.76.60.132,Malicious Host CN,,
101.181.17.112,Malicious Host AU,,
113.170.128.242,Malicious Host VN,16.0,106.0
124.153.136.175,Malicious Host KR,37.5111999512,126.974098206
3.21.74.31,Malicious Host US,,
42.51.55.157,Malicious Host CN,34.6836013794,113.532501221
121.5.155.158,Malicious Host CN,39.9289016724,116.388298035
122.116.240.129,Malicious Host TW,,
121.61.98.22,Malicious Host CN,,
157.61.212.85,Malicious Host CN,,
119.179.238.100,Malicious Host CN,36.0985984802,120.371902466
61.242.54.62,Malicious Host CN,,
46.183.218.151,Malicious Host LV,57.0,25.0
163.172.176.168,Malicious Host FR,48.8582000732,2.33870005608
103.136.82.50,Malicious Host ,48.8582000732,2.33870005608
120.85.112.124,Malicious Host CN,,
61.242.40.212,Malicious Host CN,,
58.249.12.95,Malicious Host CN,,
112.30.4.118,Malicious Host CN,34.7724990845,113.726600647
103.40.196.2,Malicious Host IN,,
210.180.237.212,Malicious Host KR,,
45.229.55.112,Malicious Host BR,,
104.248.162.33,Malicious Host GB,,
122.188.150.21,Malicious Host CN,30.5800991058,114.273399353
111.185.227.109,Malicious Host TW,23.5,121.0
188.169.36.27,Malicious Host GE,,
120.86.237.166,Malicious Host CN,,
58.219.232.140,Malicious Host CN,,
211.47.83.200,Malicious Host KR,,
182.124.92.70,Malicious Host CN,34.6836013794,113.532501221
61.242.54.137,Malicious Host CN,,
210.89.63.21,Malicious Host IN,,
212.193.30.144,Malicious Host RU,55.7386016846,37.6068000793
167.71.249.184,Malicious Host US,37.7509994507,-97.8219985962
101.0.57.158,Malicious Host IN,20.0,77.0
120.85.115.148,Malicious Host CN,,
125.127.132.112,Malicious Host CN,,
222.138.119.194,Malicious Host CN,34.6836013794,113.532501221
120.85.118.161,Malicious Host CN,,
103.104.106.98,Malicious Host CN,34.7724990845,113.726600647
159.203.186.159,Malicious Host US,,
61.242.54.16,Malicious Host CN,,
117.36.199.38,Malicious Host CN,34.2583007812,108.928596497
174.83.73.163,Malicious Host US,,
120.85.115.2,Malicious Host CN,,
111.38.106.48,Malicious Host CN,34.7724990845,113.726600647
223.149.140.37,Malicious Host CN,28.1791992188,113.113601685
157.61.212.101,Malicious Host CN,,
122.96.12.203,Malicious Host CN,,
61.242.54.175,Malicious Host CN,,
27.215.53.111,Malicious Host CN,36.0985984802,120.371902466
193.169.252.245,Malicious Host PL,52.2393989563,21.0361995697
103.215.240.1,Malicious Host IN,,
120.240.48.91,Malicious Host CN,34.7724990845,113.726600647
120.85.112.128,Malicious Host CN,,
27.194.89.189,Malicious Host CN,36.0985984802,120.371902466
119.122.114.138,Malicious Host CN,,
61.242.58.200,Malicious Host CN,,
62.219.229.190,Malicious Host IL,,
1.246.222.134,Malicious Host KR,,
120.1.140.25,Malicious Host CN,34.7724990845,113.726600647
27.38.61.75,Malicious Host CN,,
116.211.100.26,Malicious Host CN,,
178.72.69.78,Malicious Host RU,,
